         3339922 function calls (3289371 primitive calls) in 34.692 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(append)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argsort)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(bincount)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(can_cast)
      281    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
     1510    0.005    0.000    0.095    0.000 <__array_function__ internals>:177(copyto)
      701    0.001    0.000    0.014    0.000 <__array_function__ internals>:177(cumsum)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(delete)
      100    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(fliplr)
      708    0.001    0.000    0.034    0.000 <__array_function__ internals>:177(insert)
      708    0.001    0.000    0.017    0.000 <__array_function__ internals>:177(moveaxis)
     1400    0.003    0.000    3.414    0.002 <__array_function__ internals>:177(nanmean)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel)
     2800    0.005    0.000    1.031    0.000 <__array_function__ internals>:177(sum)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
   1362/8    0.005    0.000    0.840    0.105 <frozen importlib._bootstrap>:1002(_find_and_load)
     12/6    0.000    0.000    0.230    0.038 <frozen importlib._bootstrap>:1018(_gcd_import)
 1327/745    0.002    0.000    0.329    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     2409    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:112(release)
     1362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
     1362    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1362    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:160(__exit__)
     2409    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     1350    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:185(cb)
     1047    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   1794/8    0.001    0.000    0.839    0.105 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    11616    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
     1108    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1456    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
     2378    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:385(cached)
     2584    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
     1292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
     1292    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
1292/1245    0.002    0.000    0.120    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1350    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
   1292/9    0.005    0.000    0.839    0.093 <frozen importlib._bootstrap>:659(_load_unlocked)
     1341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
     1337    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
     2409    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
     5534    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:874(__enter__)
     5534    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
1343/1196    0.008    0.000    0.279    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
   1361/8    0.004    0.000    0.839    0.105 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     1108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
     1108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
     1108    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1108    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
  162/161    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
   162/77    0.000    0.000    0.347    0.005 <frozen importlib._bootstrap_external>:1179(exec_module)
    11278    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
    11278    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     2216    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     4432    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      147    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
     2079    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     5744    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     1337    0.004    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
     1337    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
     2474    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1452(find_distributions)
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
     1184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
     1270    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
     2015    0.013    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
     2229    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      148    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      245    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
      310    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     2216    0.006    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     1270    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     1108    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
     1108    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     1108    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     1108    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     2015    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
     1270    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     3324    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
   1108/9    0.002    0.000    0.838    0.093 <frozen importlib._bootstrap_external>:844(exec_module)
     1108    0.007    0.000    0.153    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      148    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
     4240    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       13    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:281(BmpRleDecoder)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:355(DibImageFile)
      700    0.000    0.000    0.000    0.000 BmpImagePlugin.py:51(_accept)
      700    0.000    0.000    0.001    0.000 BmpImagePlugin.py:55(_dib_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:333(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1276(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1388(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1510(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1773(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.001    0.001 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
      700    0.000    0.000    0.000    0.000 GifImagePlugin.py:54(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:63(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:153(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:164(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:173(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:192(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:200(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:205(Quantize)
      700    0.001    0.000    0.002    0.000 Image.py:238(_conv_type_shape)
        1    0.000    0.000    0.007    0.007 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2760(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2769(ImageTransformHandler)
      700    0.000    0.000    0.000    0.000 Image.py:3061(_decompression_bomb_check)
      700    0.002    0.000    0.041    0.000 Image.py:3081(open)
      700    0.000    0.000    0.007    0.000 Image.py:311(preinit)
      700    0.005    0.000    0.030    0.000 Image.py:3146(_open_core)
        7    0.000    0.000    0.000    0.000 Image.py:3294(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3309(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:3320(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3331(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3343(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3354(register_extensions)
        3    0.000    0.000    0.000    0.000 Image.py:3376(register_decoder)
        1    0.000    0.000    0.000    0.000 Image.py:3464(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3500(Exif)
      700    0.001    0.000    0.003    0.000 Image.py:383(_getdecoder)
      700    0.001    0.000    0.002    0.000 Image.py:406(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:441(_E)
        1    0.000    0.000    0.000    0.000 Image.py:484(Image)
      700    0.001    0.000    0.001    0.000 Image.py:500(__init__)
     2100    0.001    0.000    0.001    0.000 Image.py:513(__getattr__)
     1400    0.000    0.000    0.001    0.000 Image.py:519(width)
     1400    0.000    0.000    0.001    0.000 Image.py:523(height)
     6300    0.001    0.000    0.001    0.000 Image.py:527(size)
      700    0.001    0.000    0.100    0.000 Image.py:674(__array_interface__)
      700    0.003    0.000    0.097    0.000 Image.py:717(tobytes)
     1400    0.001    0.000    0.001    0.000 Image.py:819(load)
        1    0.000    0.000    0.000    0.000 Image.py:82(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:86(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
      700    0.007    0.000    0.088    0.000 ImageFile.py:149(load)
      700    0.001    0.000    0.001    0.000 ImageFile.py:222(<listcomp>)
      700    0.000    0.000    0.000    0.000 ImageFile.py:225(<lambda>)
      700    0.001    0.000    0.002    0.000 ImageFile.py:283(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:318(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:345(Parser)
      700    0.001    0.000    0.001    0.000 ImageFile.py:539(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:572(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:583(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:653(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:700(PyEncoder)
      700    0.000    0.000    0.000    0.000 ImageFile.py:74(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
      700    0.002    0.000    0.022    0.000 ImageFile.py:87(__init__)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
       34    0.000    0.000    0.000    0.000 ImageMode.py:25(__init__)
      700    0.000    0.000    0.000    0.000 ImageMode.py:36(getmode)
        1    0.000    0.000    0.000    0.000 ImageOps.py:20(<module>)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
      700    0.000    0.000    0.000    0.000 JpegImagePlugin.py:332(_accept)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:341(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
