start_date,end_date,id,name,version,standard_altitude,yaw_correction,pointing_altitudes,xml_file,description_short,description_long
2022-11-22 08:15:00,2022-11-22 09:25:00,3040,STAR,1,92500,False,[92500],STP-MTS-3040_22112222112001STAR.xml,Star freeze,"Start with limb pointing at 90 km and follow star for 4 minutes. Take images with IR3 with 5s, 15s, 30s, 60s, 90s integration times"
2022-11-22 09:30:00,2022-11-22 12:45:00,3050,LMBF,1,92500,False,"[230000, 230000]",STP-MTS-3050_22112222112001LMBF.xml,Limb functional,"Point at 230 km, take fullframe images with all channels with 1,2, 4s and 8s integration time once during day and once during night
Point at 230 km, take fullframe images with all channels with 16 and 32s integration time once during day and once during night "
2022-11-22 12:45:00,2022-11-22 14:20:00,2020,SNAPT4,1,92500,False,[],SKS-MTS-2020-22112222112001SNAPT4.xml,Star ECI pointing,"Start with limb pointing at 90 km and follow star for 4 minutes using OHB ECI staring manouver. Take images with IR3 with 5s, 15s, 30s, 60s integration times"
2022-11-22 14:20:00,2022-11-22 17:35:00,3051,LMBF,1,92500,False,"[70000, 70000]",STP-MTS-3051_22112222112001LMBF.xml,Limb functional,"Point at 70 km, take fullframe images with all channels with 1,2 4s and 8s integration time once during day and once during night
Point at 70 km, take fullframe images with all channels with 16 and 32s integration time once during day and once during night
"
2022-11-22 17:45:00,2022-11-23 07:43:20,3101,MODE5,1,92500,False,[],STP-MTS-3101_22112222112001MODE5.xml,Operational mode,"Binned calibration, WDW128, TEXPUV = 5000, TEXPIR = 5000, TEXPBG = 5000, TEXPHO = 1500"
2022-11-23 08:10:00,2022-11-23 09:40:00,3060,NADF,1,92500,False,[92500],STP-MTS-3060_22112322112101NADF.xml,Nadir functional,"Take full frame images with 1,2 and 4s integration time at night with Nadir camera"
2022-11-23 10:00:00,2022-11-23 14:45:00,3052,LMBF,2,92500,False,"[90000, 90000, 110000]",STP-MTS-3052_22112322112202LMBF.xml,Limb functional,"Point at 90 km, take fullframe images with all channels with 1,2, 4s and 8s integration time once during day and once during night
Point at 90 km, take fullframe images with all channels with 16 and 32s integration time once during day and once during night
Point at 110 km, take fullframe images with all channels with 1,2,4 and 8s integration time once during day and once during night
"
2022-11-23 14:50:00,2022-11-23 16:50:00,3040,STAR,3,92500,False,[92500],STP-MTS-3040_22112322112303STAR.xml,Star freeze,"Start with limb pointing at 90 km and follow star for 4 minutes. Take images with IR3 with 5s, 15s, 30s, 60s, 90s integration times"
2022-11-23 16:10:00,2022-11-23 18:10:00,3053,LMBF,3,92500,False,[110000],STP-MTS-3053_22112322112303LMBF.xml,Limb functional,"Point at 110 km, take fullframe images with all channels with 16 and 32s integration time once during day and once during night"
2022-11-23 18:00:00,2022-11-24 06:00:00,3102,MODE5,2,92500,False,[],STP-MTS-3102_22112322112302MODE5.xml,Operational mode,"Operational binning, WDW128, TEXPUV = 5000, TEXPIR = 5000, TEXPBG = 5000, TEXPHO = 3000"
2022-11-24 09:30:00,2022-11-24 10:00:00,3060,NADF,2,92500,False,[92500],STP-MTS-3060_22112422112302NADF.xml,Nadir functional,Take full frame images during night using nadir camera
2022-11-24 10:00:00,2022-11-24 13:30:00,3054,LMBF,2,92500,False,"[130000, 130000]",STP-MTS-3054_22112422112302LMBF.xml,Limb functional,"Point at 130 km, take images with all channels with 1,2, 4s and 8s integration time once during day and once during night 
Point at 130 km, take images with all channels with 16 and 32s integration time once during day and once during night "
