         809787 function calls (800187 primitive calls) in 0.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3200    0.124    0.000    0.544    0.000 /home/waves/projects/instrument_analysis/UtilityFunctions/src/retrieval/averaging_kernels.py:192(get_kernel)
    28800    0.109    0.000    0.153    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:339(_broadcast_to)
    19201    0.039    0.000    0.039    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    28800    0.036    0.000    0.036    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3200    0.030    0.000    0.635    0.000 /home/waves/projects/instrument_analysis/UtilityFunctions/src/retrieval/averaging_kernels.py:229(apply_kernel)
38401/28801    0.025    0.000    0.452    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    19201    0.024    0.000    0.087    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     9600    0.023    0.000    0.326    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/function_base.py:4248(meshgrid)
     9600    0.019    0.000    0.033    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/function_base.py:4360(<listcomp>)
     9600    0.019    0.000    0.216    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:478(broadcast_arrays)
     9600    0.018    0.000    0.019    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:414(_broadcast_shape)
    19200    0.017    0.000    0.106    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2123(sum)
    64002    0.014    0.000    0.014    0.000 {built-in method numpy.array}
    28800    0.012    0.000    0.022    0.000 {built-in method builtins.any}
    28800    0.012    0.000    0.012    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    12800    0.010    0.000    0.031    0.000 {method 'sum' of 'numpy.generic' objects}
   115200    0.010    0.000    0.010    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:344(<genexpr>)
    19200    0.009    0.000    0.132    0.000 <__array_function__ internals>:2(sum)
     9600    0.009    0.000    0.162    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:544(<listcomp>)
     9600    0.008    0.000    0.347    0.000 /home/waves/projects/instrument_analysis/UtilityFunctions/src/retrieval/averaging_kernels.py:71(meshgrid)
    28800    0.007    0.000    0.011    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/function_base.py:244(iterable)
    28800    0.007    0.000    0.007    0.000 /home/waves/anaconda3/envs/juwaveo/lib/python3.7/site-packages/numpy/lib/stride_tricks.py:25(_maybe_view_as_subclass)
        1    0.007    0.007    0.646    0.646 /home/waves/projects/instrument_analysis/UtilityFunctions/src/retrieval/averaging_kernels.py:278(apply_3d_kernel)
     9600    0.006    0.000    0.339    0.000 <__array_function__ internals>:2(meshgrid)
